model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,seed
rated_range,L0,60.529967485058904,71.39547290190102,49.64865461994506,35.58358703278678,42.115639099592315,600,0
physics_only,L0,34.090441146324864,46.523151546714864,20.990961783194972,17.151416619053727,29.753302415163017,600,0
ridge,L0,24.755022493674932,34.32856098704051,17.02414864714437,13.063637698294825,22.907316697436872,600,0
random_forest,L0,23.37561325670047,34.51289795430436,15.617817549676857,11.105657256243711,19.648857053820286,600,0
gbm,L0,22.565760457298893,32.497630546683844,15.237304381058719,10.610727120678604,19.124020250319667,600,0
hybrid_physics_ml,L0,16.82354286887307,25.35969044735625,11.232123678068177,8.112825052864356,15.138607087409106,600,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,0
ridge,L1,25.3804308720752,34.47594264072388,21.0137078409265,13.93437224625947,28.660296309533006,491,0
random_forest,L1,25.04428110587085,35.75921902006203,21.643141281775733,13.21000679434105,28.964502984813677,491,0
gbm,L1,23.52578327676964,34.18551412137885,19.703164277186694,12.460821834760301,26.505005923568643,491,0
hybrid_physics_ml,L1,19.027693986483055,31.414049164366347,14.462456209592247,9.594627131485298,21.71426956128164,491,0
rated_range,L0,65.79612020738176,78.3930091187006,57.589631511567994,37.878291549092005,49.260408659747156,600,1
physics_only,L0,35.48133168081662,49.34066527072194,22.529058469563463,19.58787566471424,32.15959962163029,600,1
ridge,L0,26.59544020203993,37.878301156685225,19.97257582437765,13.068007733446652,25.921936256830364,600,1
random_forest,L0,24.721713955917643,36.192488709541294,18.38925171520944,11.660968737270816,24.09712789157656,600,1
gbm,L0,23.20086946924445,33.91857917652967,17.039617427661284,10.384353853325734,22.214881395403935,600,1
hybrid_physics_ml,L0,16.129344838139932,24.869344467989706,11.182939692386935,7.614861476646707,16.307545930872134,600,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,1
ridge,L1,24.73097538189086,31.749683877156265,17.240683514654158,13.181986810132615,22.541889286188685,593,1
random_forest,L1,24.76771419380392,33.44651107866198,17.561037766274975,12.502387539307492,22.41558506692727,593,1
gbm,L1,22.612247091793492,30.809227355718075,15.860313166627543,11.425083549637598,20.15101858206922,593,1
hybrid_physics_ml,L1,18.451844607066263,26.214471744281454,12.4806412037391,9.071001971054512,16.895731363695713,593,1
rated_range,L0,61.24491156821139,72.4089845788206,51.565666163162675,36.09578701685625,44.29895460688859,600,2
physics_only,L0,32.28567042276847,43.484943457744485,20.315939479635,16.930620418852772,29.289515067706706,600,2
ridge,L0,24.821113637535177,34.554678826779615,17.542586580598822,12.588057872516991,23.806214100433646,600,2
random_forest,L0,23.768460879291265,33.600534769659866,16.95570603693367,11.84167193900089,21.53842690296174,600,2
gbm,L0,21.98423958219377,31.74367403529692,15.691046913425852,10.89198528859633,20.081955584373084,600,2
hybrid_physics_ml,L0,16.300452004402334,21.73317566460792,11.106669238263777,8.63841556419936,15.086808552008515,600,2
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,2
ridge,L1,30.075345373106106,42.55226550906553,20.51286165584876,14.75751952344826,27.311227637491317,706,2
random_forest,L1,31.948282660410943,46.55227830394219,21.611436979762484,15.873728554795482,29.24684536279389,706,2
gbm,L1,27.42071199381427,40.46069742648725,18.501938057256055,12.856812665794354,24.711476929362302,706,2
hybrid_physics_ml,L1,21.31895603759969,32.326112421346814,13.754930333741749,9.96229205848337,20.86990717174085,706,2
rated_range,L0,62.410170161723215,73.96840565126507,53.79931200969612,36.890838222243836,45.649252868303655,600,3
physics_only,L0,36.136461694931626,49.82766287821297,22.378489460048147,19.767053453430186,31.344624470934882,600,3
