model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,seed
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,0
ridge,L1,25.3804308720752,34.47594264072388,21.0137078409265,13.93437224625947,28.660296309533006,491,0
random_forest,L1,25.04428110587085,35.75921902006203,21.643141281775733,13.210006794341117,28.964502984813677,491,0
gbm,L1,23.52578327676964,34.18551412137885,19.703164277186694,12.460821834760301,26.505005923568643,491,0
hybrid_physics_ml,L1,19.027693986483055,31.414049164366347,14.462456209592247,9.594627131485298,21.71426956128164,491,0
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,1
ridge,L1,24.73097538189086,31.749683877156265,17.240683514654158,13.181986810132615,22.541889286188685,593,1
random_forest,L1,24.767714193803915,33.44651107866198,17.56103776627497,12.50238753930753,22.41558506692727,593,1
gbm,L1,22.612247091793492,30.809227355718075,15.860313166627543,11.425083549637598,20.15101858206922,593,1
hybrid_physics_ml,L1,18.451844607066263,26.214471744281454,12.4806412037391,9.071001971054512,16.895731363695713,593,1
rated_range,L1,65.7735855212425,79.80539581740288,57.612889633689605,35.183840163620175,50.12632936421324,706,2
physics_only,L1,40.211934326018934,54.31352417880717,24.810687474930873,21.511120541261956,36.11795979422796,706,2
ridge,L1,30.075345373106106,42.55226550906553,20.51286165584876,14.75751952344826,27.311227637491317,706,2
random_forest,L1,31.948282660410943,46.55227830394219,21.611436979762484,15.873728554795477,29.246845362793888,706,2
gbm,L1,27.42071199381427,40.46069742648725,18.501938057256055,12.856812665794354,24.711476929362302,706,2
hybrid_physics_ml,L1,21.31895603759969,32.326112421346814,13.754930333741749,9.96229205848337,20.86990717174085,706,2
rated_range,L1,66.66621052358971,77.00345732263453,64.79860235872935,42.1173628969467,54.416406398386115,505,3
physics_only,L1,31.45074937866919,43.947134510145574,23.279828700560476,17.60588351999594,33.802185079137026,505,3
ridge,L1,25.0060661744451,33.598192760840945,20.132361700026877,13.678989314007273,29.205401981006766,505,3
random_forest,L1,24.2631654746208,32.896586221839364,20.418658490218284,12.339401817211684,27.994886861706537,505,3
gbm,L1,22.195961492380384,31.11939376853764,18.512717590888943,11.899135597789758,25.90328471220611,505,3
hybrid_physics_ml,L1,18.333749754415273,28.1976376523361,13.838097263863533,9.332842762624015,20.408534266107573,505,3
rated_range,L1,64.28065153114498,76.59633299026747,56.15920973425433,37.93965689690594,48.3146903218671,559,4
physics_only,L1,35.767058599259094,49.91974503088374,22.732640038741625,19.58787566471424,32.48607168892749,559,4
ridge,L1,26.954667669669067,36.90086811514369,19.21988929012819,14.312928502452971,25.348182195461607,559,4
random_forest,L1,27.20142258788777,39.098450382018,19.580321264708083,13.89392081441994,25.41646896854494,559,4
gbm,L1,24.75336489178882,35.49217946972781,17.74074532208462,12.00118683036947,23.034218724093343,559,4
hybrid_physics_ml,L1,18.64178458312638,29.029569421808354,12.896763434977418,9.232799654629266,18.651013156116626,559,4
