model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,eps_m,n_routes
rated_range,L1,65.65169124000488,77.05992098169907,57.91831240588199,41.413269434662546,49.130607293691924,538,300.0,219
physics_only,L1,32.784534197501074,49.163881916099434,21.457391799912756,15.798682996060965,30.1540285517853,538,300.0,219
ridge,L1,25.714757202000634,36.02344883575821,18.46056351744122,13.970191063785714,26.31102024330256,538,300.0,219
random_forest,L1,25.640084926411358,37.58887693565487,18.62619436781635,13.393403365878145,24.88112097896652,538,300.0,219
gbm,L1,23.521546092059328,34.53238561893202,16.701841276600206,11.632384576651969,22.778916927348284,538,300.0,219
hybrid_physics_ml,L1,19.091000259429318,31.555424033862586,12.553935443349006,9.949976653229351,17.420284559510876,538,300.0,219
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,500.0,134
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,500.0,134
ridge,L1,25.3804308720752,34.47594264072388,21.0137078409265,13.93437224625947,28.660296309533006,491,500.0,134
random_forest,L1,25.04428110587085,35.75921902006203,21.643141281775733,13.210006794341117,28.96450298481368,491,500.0,134
gbm,L1,23.52578327676964,34.18551412137885,19.703164277186694,12.460821834760301,26.505005923568643,491,500.0,134
hybrid_physics_ml,L1,19.027693986483055,31.414049164366347,14.462456209592247,9.594627131485298,21.71426956128164,491,500.0,134
rated_range,L1,67.01350425541476,78.05161433826851,62.5059670142743,42.908696267821746,51.718187837185255,601,800.0,71
physics_only,L1,31.006082731541902,44.6921061239857,21.630322921370276,16.68990697517099,30.809285689475637,601,800.0,71
ridge,L1,26.913565759209014,36.8468083814949,21.305350021756666,14.356919663765435,28.12726619970041,601,800.0,71
random_forest,L1,26.579139813669883,37.235019207434846,21.903116275624704,14.428339074233673,27.596242897113306,601,800.0,71
gbm,L1,25.45765999471599,36.8063915534508,20.429583372514017,13.064654302901408,25.40529313891707,601,800.0,71
hybrid_physics_ml,L1,18.994636678860793,29.128607637066935,13.831970852938106,9.775816985087635,19.58944234514195,601,800.0,71
