held_out,n_train,n_test,model,MAE,RMSE,MAPE,medAPE
10,249,187,rated_range,54.292362232195345,71.03961759725661,34.15374067874062,23.89364012431926
10,249,187,physics_only,52.71970541133653,66.93121483106474,26.09865885493925,27.073941195970068
10,249,187,ridge,45.87925269757598,58.19147537805761,22.986469976757007,21.52884543151989
10,249,187,random_forest,48.9735934578746,63.39643672779468,24.05699307313511,22.565203915436243
10,249,187,gbm,43.5406941794207,58.267916969487054,21.370598178784338,19.779537507005948
10,249,187,hybrid_physics_ml,34.85909036160139,45.92857355538204,17.901502260361934,16.767415170771816
455,139,283,rated_range,71.36961430039219,80.26623522675801,71.90970568843483,53.38117470927799
455,139,283,physics_only,24.31040109967987,31.801476727178212,20.601065521800727,14.574290727474121
455,139,283,ridge,33.51174808257516,41.020688055235944,28.95839566642947,22.236022833255646
455,139,283,random_forest,42.13549536427317,48.51062070697683,39.2090880265479,29.188740379623606
455,139,283,gbm,42.55227394015807,50.203032934712056,38.1320134868334,27.363167975779856
455,139,283,hybrid_physics_ml,30.66549405979111,36.84593370796516,24.93451651381396,21.096302324377984
541,469,10,rated_range,55.59522166960412,61.02826030461213,42.79899591814636,32.17810203978861
541,469,10,physics_only,16.327672591932743,21.322307034686045,10.729002654353256,5.710967655220027
541,469,10,ridge,30.958746705822715,34.84301692779979,22.23773500499926,20.229501947294253
541,469,10,random_forest,34.63905494968647,39.68784963949265,23.38696882623533,24.068721691383825
541,469,10,gbm,34.87117688313607,43.75909001782341,23.496162431649545,25.368007872881815
541,469,10,hybrid_physics_ml,14.768952944464479,18.977976532430667,10.741035857371836,6.161533948088746
