model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,seed
rated_range,L0,60.529967485058904,71.39547290190102,49.64865461994506,35.58358703278678,42.115639099592315,600,0
physics_only,L0,34.090441146324864,46.523151546714864,20.990961783194972,17.151416619053727,29.753302415163017,600,0
ridge,L0,24.755022493674932,34.32856098704051,17.02414864714437,13.063637698294825,22.907316697436872,600,0
random_forest,L0,23.375613256700472,34.51289795430436,15.617817549676857,11.105657256243711,19.648857053820283,600,0
gbm,L0,22.565760457298893,32.497630546683844,15.237304381058719,10.610727120678604,19.124020250319667,600,0
hybrid_physics_ml,L0,16.82354286887307,25.35969044735625,11.232123678068177,8.112825052864356,15.138607087409106,600,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,0
ridge,L1,25.3804308720752,34.47594264072388,21.0137078409265,13.93437224625947,28.660296309533006,491,0
random_forest,L1,25.04428110587085,35.75921902006202,21.643141281775733,13.210006794341117,28.96450298481368,491,0
gbm,L1,23.52578327676964,34.18551412137885,19.703164277186694,12.460821834760301,26.505005923568643,491,0
hybrid_physics_ml,L1,19.027693986483055,31.414049164366347,14.462456209592247,9.594627131485298,21.71426956128164,491,0
rated_range,L2,42.07969361868561,51.907884172527815,31.217956330690612,18.62975933819876,24.73364892306456,38,0
physics_only,L2,32.840940655726165,42.70111619730002,17.737083427247473,15.479627077768676,22.683941253549765,38,0
ridge,L2,28.400097009048164,34.80212011689135,16.679733017175817,15.364078527261851,16.493428194189306,38,0
random_forest,L2,35.24710410064196,43.64273147682001,18.945841377993034,19.37096720112291,23.06775280650327,38,0
gbm,L2,30.56751440229817,35.118828891020414,17.671228024327306,16.30791680749136,22.56897249419654,38,0
hybrid_physics_ml,L2,22.990218663607468,28.099337456010446,13.590916351269486,11.769204281435936,17.83817306930038,38,0
rated_range,L3,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,0
physics_only,L3,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,0
ridge,L3,38.32738489539059,47.48173525887424,26.825452588881525,22.532671048192327,34.54778912501106,480,0
random_forest,L3,43.850553879814534,53.30825747703868,33.26625116404882,25.737240295073942,38.021131265507165,480,0
gbm,L3,40.22892969213548,50.19295539717005,30.242047484579004,22.540079688777862,34.18630939747897,480,0
hybrid_physics_ml,L3,33.99248904772641,41.89982267309593,24.24526413102038,19.78681291996943,29.721739756293964,480,0
rated_range,L3b,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103,47.986834127423066,480,0
physics_only,L3b,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573,32.25119652212659,480,0
ridge,L3b,38.27673422682022,48.33847471793559,26.49181918604811,21.680888944073146,35.98604207048949,480,0
random_forest,L3b,44.643328571268164,54.644739311617485,32.976456884274334,25.872680900215162,38.73213612706636,480,0
gbm,L3b,42.777323136349516,53.3717144821104,31.297131876089622,23.48235790037928,35.77539111914043,480,0
hybrid_physics_ml,L3b,31.96807134580206,40.36998241587827,21.898873863897396,18.53195818052027,27.56852063331133,480,0
rated_range,L0,65.79612020738176,78.3930091187006,57.589631511567994,37.878291549092005,49.260408659747156,600,1
physics_only,L0,35.48133168081662,49.34066527072194,22.529058469563463,19.58787566471424,32.15959962163029,600,1
ridge,L0,26.59544020203993,37.878301156685225,19.97257582437765,13.068007733446652,25.921936256830364,600,1
random_forest,L0,24.721713955917643,36.192488709541294,18.389251715209443,11.660968737270816,24.09712789157656,600,1
gbm,L0,23.20086946924445,33.91857917652967,17.039617427661284,10.384353853325734,22.214881395403935,600,1
hybrid_physics_ml,L0,16.129344838139932,24.869344467989706,11.182939692386935,7.614861476646707,16.307545930872134,600,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,1
