model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,variant,n_features,seed
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,full,15,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,full,15,0
ridge,L1,25.3804308720752,34.47594264072388,21.0137078409265,13.93437224625947,28.660296309533006,491,full,15,0
random_forest,L1,25.044281105870848,35.75921902006203,21.643141281775733,13.210006794341092,28.964502984813684,491,full,15,0
gbm,L1,23.52578327676964,34.18551412137885,19.703164277186694,12.460821834760301,26.505005923568643,491,full,15,0
hybrid_physics_ml,L1,19.027693986483055,31.414049164366347,14.462456209592247,9.594627131485298,21.71426956128164,491,full,15,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,minus_route,7,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,minus_route,7,0
ridge,L1,30.867912418942517,42.50441363423924,26.86379196879572,16.251616648089083,35.55439241955202,491,minus_route,7,0
random_forest,L1,30.430940740185353,42.3073932915655,26.91299512196514,16.469024898796842,34.35640167716827,491,minus_route,7,0
gbm,L1,32.10370821057088,44.0604936792492,27.846337688411822,16.848697364989402,35.92131024029993,491,minus_route,7,0
hybrid_physics_ml,L1,28.426508606146314,42.200746002163264,22.228911192055055,14.938948043967695,32.136947832093085,491,minus_route,7,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,minus_weather,14,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,minus_weather,14,0
ridge,L1,27.32596500222746,36.064172517250576,23.113713373840948,17.222713542398044,31.15605032028877,491,minus_weather,14,0
random_forest,L1,25.643691242703564,36.238185273590716,22.502458985284445,13.794259482595997,29.984373996102118,491,minus_weather,14,0
gbm,L1,25.51594628469941,36.253003213296594,22.156111118076634,12.837611774051696,29.283296746566528,491,minus_weather,14,0
hybrid_physics_ml,L1,20.925068131492843,33.24177372052173,16.2380475465905,11.45318388959016,23.83049388904129,491,minus_weather,14,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,minus_state,11,0
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,minus_state,11,0
ridge,L1,34.999999370543186,45.47563747030179,29.413587769453187,20.425538514082753,38.7274108086134,491,minus_state,11,0
random_forest,L1,28.256571308486542,39.59264821967663,23.747867612261135,14.681826210518837,30.751181573816858,491,minus_state,11,0
gbm,L1,28.0802744648405,38.60573166420435,23.265517178264627,15.224274215864822,30.709335031685672,491,minus_state,11,0
hybrid_physics_ml,L1,19.333991905646407,31.840246284412526,14.60296363210981,10.353688958734406,21.74427442813689,491,minus_state,11,0
rated_range,L1,71.52703392481327,81.72700218682067,69.86720731533697,49.24643551367315,58.40721315135148,491,minus_traffic,13,0
