model,variant,direction,MAE,RMSE,MAPE,medAPE
rated_range,with_hvac,BEV->PHEV,55.87699980292709,69.41685707461048,42.369946654355736,28.242147338678564
physics_only,with_hvac,BEV->PHEV,52.38215023647832,74.88908753618979,27.22890026001336,24.128646938802152
ridge,with_hvac,BEV->PHEV,52.60767958079135,72.6406737078893,28.291664367929908,24.243420878162468
random_forest,with_hvac,BEV->PHEV,44.24478938484834,65.64080608703559,23.134728660654122,17.95849763908111
gbm,with_hvac,BEV->PHEV,42.1205604593069,61.024160862323214,22.78168160715991,17.87383193819663
hybrid_physics_ml,with_hvac,BEV->PHEV,40.55140385876534,60.94024591762906,20.827477918146396,17.33705798670466
rated_range,with_hvac,PHEV->BEV,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103
physics_only,with_hvac,PHEV->BEV,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573
ridge,with_hvac,PHEV->BEV,45.74181157383084,55.75806942369233,36.35726562936779,25.47436277312336
random_forest,with_hvac,PHEV->BEV,43.466244002858986,53.87792281173827,33.62646740977569,24.898185533431068
gbm,with_hvac,PHEV->BEV,45.3510275469514,55.830797239694895,34.90236460378379,27.199744700635886
hybrid_physics_ml,with_hvac,PHEV->BEV,36.43908772492879,48.27263219830494,26.94218437344077,20.571234305796366
rated_range,without_hvac,BEV->PHEV,55.87699980292709,69.41685707461048,42.369946654355736,28.242147338678564
physics_only,without_hvac,BEV->PHEV,52.38215023647832,74.88908753618979,27.22890026001336,24.128646938802152
ridge,without_hvac,BEV->PHEV,44.06559892317905,58.516354445743275,25.727817351797576,22.205365394387567
random_forest,without_hvac,BEV->PHEV,39.55230238296647,54.097838743291696,22.600029954116682,18.41422250440133
gbm,without_hvac,BEV->PHEV,38.93468231700866,52.87877411028336,23.081394198001153,18.09280637116953
hybrid_physics_ml,without_hvac,BEV->PHEV,38.00112472983004,57.9093830079682,19.622168438320333,15.606715674240574
rated_range,without_hvac,PHEV->BEV,64.38796833568242,76.43405348169276,56.594137866527106,37.55473018602103
physics_only,without_hvac,PHEV->BEV,35.211885727184715,48.48698652120515,22.537168281430784,18.446238016879573
ridge,without_hvac,PHEV->BEV,41.22862682246757,52.44401415407795,32.470680639160605,22.0457552002673
random_forest,without_hvac,PHEV->BEV,41.71854948649073,52.32240024603528,31.829525335940474,23.764960383531466
gbm,without_hvac,PHEV->BEV,41.18806166288102,51.62988219576854,31.191920465925122,24.35194293591332
hybrid_physics_ml,without_hvac,PHEV->BEV,41.020835761725785,53.11887217691137,29.100787459830528,23.840217831415522
