model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,variant,seed
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,with_hvac,0
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,with_hvac,0
ridge,L3b,36.48599483495899,48.63862247684748,23.62576795000596,18.060976946643887,24.396851919543177,1764,with_hvac,0
random_forest,L3b,32.9487628732071,46.33240525414559,21.524657563572756,14.498607031305566,21.073953529291963,1764,with_hvac,0
gbm,L3b,31.325495573614123,43.85116413819498,20.192134106084502,14.068203521439626,20.55851839416276,1764,with_hvac,0
hybrid_physics_ml,L3b,26.481381151361813,39.12890085955179,15.994667643914035,11.05142311070821,16.121712385369104,1764,with_hvac,0
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,without_hvac,0
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,without_hvac,0
ridge,L3b,38.684237180020624,50.59338504816588,25.102572052536924,19.58674726540426,25.68888263523944,1764,without_hvac,0
random_forest,L3b,34.11605295207249,47.16788172751285,22.337055591434783,15.617842738724372,21.939797068251604,1764,without_hvac,0
gbm,L3b,33.43408830032056,45.87025656067169,21.71176200822739,15.694171060901633,21.822735174140256,1764,without_hvac,0
hybrid_physics_ml,L3b,27.416060066893323,39.66289619529136,16.704421768506318,12.423531690509636,16.821101738737827,1764,without_hvac,0
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,with_hvac,1
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,with_hvac,1
ridge,L3b,36.48599483495899,48.63862247684748,23.62576795000596,18.060976946643887,24.396851919543177,1764,with_hvac,1
random_forest,L3b,32.95942025684144,46.364224614650404,21.547054779867977,14.360840283284181,21.06927202684198,1764,with_hvac,1
gbm,L3b,31.325495573614123,43.85116413819498,20.192134106084502,14.068203521439626,20.55851839416276,1764,with_hvac,1
hybrid_physics_ml,L3b,26.481381151361813,39.12890085955179,15.994667643914035,11.05142311070821,16.121712385369104,1764,with_hvac,1
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,without_hvac,1
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,without_hvac,1
ridge,L3b,38.684237180020624,50.59338504816588,25.102572052536924,19.58674726540426,25.68888263523944,1764,without_hvac,1
random_forest,L3b,34.221823847726284,47.256970005164156,22.416813385019562,15.38245712814447,21.970967587754064,1764,without_hvac,1
gbm,L3b,33.43408830032056,45.87025656067169,21.71176200822739,15.694171060901633,21.822735174140256,1764,without_hvac,1
hybrid_physics_ml,L3b,27.416060066893323,39.66289619529136,16.704421768506318,12.423531690509636,16.821101738737827,1764,without_hvac,1
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,with_hvac,2
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,with_hvac,2
ridge,L3b,36.48599483495899,48.63862247684748,23.62576795000596,18.060976946643887,24.396851919543177,1764,with_hvac,2
random_forest,L3b,33.00755933239633,46.40618581722315,21.57707000518786,14.669177785111861,21.110808357985082,1764,with_hvac,2
gbm,L3b,31.325495573614123,43.85116413819498,20.192134106084502,14.068203521439626,20.55851839416276,1764,with_hvac,2
hybrid_physics_ml,L3b,26.481381151361813,39.12890085955179,15.994667643914035,11.05142311070821,16.121712385369104,1764,with_hvac,2
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,without_hvac,2
physics_only,L3b,50.640588204288726,71.58474284766419,26.734765412010468,23.721107746372503,35.61525847148465,1764,without_hvac,2
ridge,L3b,38.684237180020624,50.59338504816588,25.102572052536924,19.58674726540426,25.68888263523944,1764,without_hvac,2
random_forest,L3b,34.25750175458743,47.301791808300074,22.445967558331297,15.525533632988042,22.022439970207493,1764,without_hvac,2
gbm,L3b,33.43408830032056,45.87025656067169,21.71176200822739,15.694171060901633,21.822735174140256,1764,without_hvac,2
hybrid_physics_ml,L3b,27.416060066893323,39.66289619529136,16.704421768506318,12.423531690509636,16.821101738737827,1764,without_hvac,2
rated_range,L3b,54.5467245397392,66.90647302032708,41.67096944528654,28.110115692488925,33.75032863641694,1764,with_hvac,3
