model,MAE_pp,RMSE_pp,worst_cell_MAE_pp,median_cell_MAE_pp,n_cells,seed
mean_baseline,8.374085102951653,11.313745304139525,22.448689184646913,7.611909140138844,26,0
cycle_only_linear,6.448909442083499,10.160035004808131,20.894524444615158,4.337126225314158,26,0
ridge,6.283558129303746,8.347553973997135,16.175198025708763,5.619533386370348,26,0
random_forest,4.812553986252962,6.808121130866936,12.286475571914794,4.859331504918632,26,0
gbm,4.676377371172089,7.001840193629251,13.919929700557478,4.613350451662374,26,0
mean_baseline,8.374085102951653,11.313745304139525,22.448689184646913,7.611909140138844,26,1
cycle_only_linear,6.448909442083499,10.160035004808131,20.894524444615158,4.337126225314158,26,1
ridge,6.283558129303746,8.347553973997135,16.175198025708763,5.619533386370348,26,1
random_forest,4.787038163635684,6.763770953116052,12.306502970224827,4.8781795802792285,26,1
gbm,4.676377371172089,7.001840193629251,13.919929700557478,4.613350451662374,26,1
mean_baseline,8.374085102951653,11.313745304139525,22.448689184646913,7.611909140138844,26,2
cycle_only_linear,6.448909442083499,10.160035004808131,20.894524444615158,4.337126225314158,26,2
ridge,6.283558129303746,8.347553973997135,16.175198025708763,5.619533386370348,26,2
random_forest,4.763769231029145,6.742635591820539,12.151462346046713,4.913401253207577,26,2
gbm,4.676377371172089,7.001840193629251,13.919929700557478,4.613350451662374,26,2
mean_baseline,8.374085102951653,11.313745304139525,22.448689184646913,7.611909140138844,26,3
cycle_only_linear,6.448909442083499,10.160035004808131,20.894524444615158,4.337126225314158,26,3
ridge,6.283558129303746,8.347553973997135,16.175198025708763,5.619533386370348,26,3
random_forest,4.805005525006488,6.788296619449621,12.185474948834797,4.796083873244925,26,3
gbm,4.676377371172089,7.001840193629251,13.919929700557478,4.613350451662374,26,3
mean_baseline,8.374085102951653,11.313745304139525,22.448689184646913,7.611909140138844,26,4
cycle_only_linear,6.448909442083499,10.160035004808131,20.894524444615158,4.337126225314158,26,4
ridge,6.283558129303746,8.347553973997135,16.175198025708763,5.619533386370348,26,4
random_forest,4.827978863743419,6.7920620134709715,11.817833061289706,4.862460229572475,26,4
gbm,4.676377371172089,7.001840193629251,13.919929700557478,4.613350451662374,26,4
