method,marginal_coverage,mean_rel_width,worst_group_coverage,worst_group,n_test,cov_cold,cov_mild,cov_warm,seed
naive_quantile,0.7283950617283951,0.4437360168888016,0.6666666666666666,warm,81,0.8,0.7142857142857143,0.6666666666666666,0
split_conformal,0.9259259259259259,0.6597001897478929,0.8571428571428571,mild,81,1.0,0.8571428571428571,0.9,0
cqr,0.9259259259259259,0.666072476507639,0.9,cold,81,0.9,0.9523809523809523,0.9333333333333333,0
mondrian,0.9135802469135802,0.6905156699219677,0.8666666666666667,cold,81,0.8666666666666667,0.9047619047619048,0.9666666666666667,0
naive_quantile,0.6697247706422018,0.3529585110944233,0.6176470588235294,mild,109,0.7142857142857143,0.6176470588235294,0.6666666666666666,1
split_conformal,0.963302752293578,0.7693621432116163,0.9411764705882353,mild,109,0.9523809523809523,0.9411764705882353,1.0,1
cqr,0.9357798165137615,0.6700287111342057,0.9117647058823529,mild,109,0.9285714285714286,0.9117647058823529,0.9696969696969697,1
mondrian,0.9357798165137615,0.7787172095973112,0.9047619047619048,cold,109,0.9047619047619048,0.9705882352941176,0.9393939393939394,1
naive_quantile,0.6619718309859155,0.3659700600301945,0.47619047619047616,mild,71,0.6538461538461539,0.47619047619047616,0.8333333333333334,2
split_conformal,0.9154929577464789,0.6227170667241096,0.8095238095238095,mild,71,0.9615384615384616,0.8095238095238095,0.9583333333333334,2
cqr,0.9436619718309859,0.67804774394249,0.8571428571428571,mild,71,0.9615384615384616,0.8571428571428571,1.0,2
mondrian,0.971830985915493,0.7265349311373168,0.9523809523809523,mild,71,1.0,0.9523809523809523,0.9583333333333334,2
naive_quantile,0.7938931297709924,0.39852964421061804,0.7659574468085106,warm,131,0.8,0.8235294117647058,0.7659574468085106,3
split_conformal,0.9694656488549618,0.6432389155317155,0.9361702127659575,warm,131,1.0,0.9705882352941176,0.9361702127659575,3
cqr,0.9694656488549618,0.6976811941981952,0.96,cold,131,0.96,0.9705882352941176,0.9787234042553191,3
mondrian,0.9618320610687023,0.6866337182309825,0.9574468085106383,warm,131,0.96,0.9705882352941176,0.9574468085106383,3
naive_quantile,0.5819672131147541,0.33870259807227854,0.37209302325581395,cold,122,0.37209302325581395,0.6829268292682927,0.7105263157894737,4
split_conformal,0.9672131147540983,0.7269233861220874,0.9473684210526315,warm,122,0.9767441860465116,0.975609756097561,0.9473684210526315,4
cqr,0.9016393442622951,0.6903376416650301,0.813953488372093,cold,122,0.813953488372093,0.926829268292683,0.9736842105263158,4
mondrian,0.9836065573770492,0.8408525168420738,0.975609756097561,mild,122,0.9767441860465116,0.975609756097561,1.0,4
